timestamp,valence,arousal,stress_score,dominant_zone,pitch,jitter,shimmer
2026-03-15T11:36:34.210179,-0.3486,-0.1284,0.2101,sadness,0.00,0.0000,0.0000
2026-03-15T11:36:34.265573,-0.4978,-0.0098,0.3440,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:34.325437,-0.2194,0.1416,0.2805,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:34.378196,-0.3603,0.3613,0.4608,high_stress,0.00,0.0000,0.0000
2026-03-15T11:36:34.421016,-0.5220,0.2949,0.5085,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:34.468115,-0.0950,0.2364,0.2657,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:34.506830,-0.0947,0.3694,0.3321,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:34.540992,-0.3414,0.3459,0.4437,high_stress,0.00,0.0000,0.0000
2026-03-15T11:36:34.580999,-0.2561,0.3011,0.3786,high_stress,0.00,0.0000,0.0000
2026-03-15T11:36:34.633565,-0.4696,0.0882,0.3789,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:34.697263,-0.4334,0.1752,0.4043,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:34.761682,-0.2021,0.1818,0.2920,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:34.831235,-0.2302,0.1812,0.3057,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:34.903868,-0.3176,0.2725,0.3950,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:34.960459,-0.5671,-0.2394,0.2638,sadness,0.00,0.0000,0.0000
2026-03-15T11:36:35.000814,-0.4279,0.3419,0.4849,high_stress,0.00,0.0000,0.0000
2026-03-15T11:36:35.037180,0.0355,-0.1851,0.0000,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:35.073631,-0.4689,0.2737,0.4713,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:35.108300,-0.3705,0.4818,0.5262,high_stress,0.00,0.0000,0.0000
2026-03-15T11:36:35.143615,-0.2236,0.1219,0.2727,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:35.186872,-0.7083,0.3791,0.6437,high_stress,0.00,0.0000,0.0000
2026-03-15T11:36:35.226669,-0.2204,0.0037,0.2120,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:35.269471,-0.4347,0.5444,0.5896,high_stress,0.00,0.0000,0.0000
2026-03-15T11:36:35.334135,0.0146,0.2519,0.2187,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:35.438348,-0.5997,0.2505,0.5251,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:35.512994,0.0238,0.2740,0.2251,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:35.576371,-0.1124,0.4397,0.3761,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:35.620973,0.1038,-0.0533,0.0215,calm,0.00,0.0000,0.0000
2026-03-15T11:36:35.655914,-0.3642,0.2457,0.4049,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:35.692402,-0.4905,0.4328,0.5616,high_stress,0.00,0.0000,0.0000
2026-03-15T11:36:35.726633,-0.3230,0.2449,0.3839,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:35.765300,-0.5190,0.3053,0.5122,high_stress,0.00,0.0000,0.0000
2026-03-15T11:36:35.800239,-0.0948,-0.1725,0.0612,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:35.834063,-0.4341,0.6018,0.6180,high_stress,0.00,0.0000,0.0000
2026-03-15T11:36:35.865828,-0.2007,0.1216,0.2612,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:35.898561,-0.1884,-0.1517,0.1184,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:35.937371,-0.3006,0.3429,0.4217,high_stress,0.00,0.0000,0.0000
2026-03-15T11:36:36.013518,-0.4733,0.0774,0.3754,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:36.069291,-0.3333,-0.0307,0.2513,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:36.125079,-0.2421,0.0885,0.2653,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:36.173974,0.0802,0.0564,0.0881,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:36.231472,-0.2158,0.5338,0.4748,high_stress,0.00,0.0000,0.0000
2026-03-15T11:36:36.234639,-0.2305,0.3379,0.3842,high_stress,0.00,0.0000,0.0000
2026-03-15T11:36:36.282741,-0.4670,0.0250,0.3460,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:36.323667,-0.5532,0.1216,0.4374,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:36.356955,-0.4460,0.1759,0.4110,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:36.392344,-0.0279,0.2387,0.2333,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:36.433972,-0.3109,0.1907,0.3508,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:36.471408,-0.2144,0.8202,0.6173,high_stress,0.00,0.0000,0.0000
2026-03-15T11:36:36.508667,-0.3663,-0.1790,0.1937,sadness,0.00,0.0000,0.0000
2026-03-15T11:36:36.547884,-0.0859,-0.3743,0.0000,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:36.586039,-0.6738,0.2395,0.5566,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:36.645198,0.1021,-0.0030,0.0475,calm,0.00,0.0000,0.0000
2026-03-15T11:36:36.708021,-0.5328,-0.0295,0.3516,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:36.771366,-0.4671,0.2062,0.4367,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:36.831994,-0.4852,0.2889,0.4871,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:36.875254,-0.2606,0.0591,0.2599,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:36.929456,-0.3243,0.3274,0.4258,high_stress,0.00,0.0000,0.0000
2026-03-15T11:36:37.002274,-0.5716,0.4693,0.6204,high_stress,0.00,0.0000,0.0000
2026-03-15T11:36:37.043358,-0.2635,0.1543,0.3089,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:37.088768,-0.3993,0.1592,0.3793,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:37.122381,-0.4695,0.1231,0.3963,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:37.155913,-0.6635,0.4107,0.6371,high_stress,0.00,0.0000,0.0000
2026-03-15T11:36:37.191920,-0.1672,0.3167,0.3419,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:37.231134,-0.2542,0.1842,0.3192,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:37.272353,-0.2060,0.3506,0.3783,high_stress,0.00,0.0000,0.0000
2026-03-15T11:36:37.314209,-0.1859,-0.0006,0.1926,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:37.350509,0.2065,0.4285,0.2110,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:37.396007,-0.0307,0.0771,0.1539,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:37.467030,-0.0533,-0.0329,0.1102,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:37.538704,0.1259,0.2210,0.1476,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:37.621595,-0.3804,0.5800,0.5802,high_stress,0.00,0.0000,0.0000
2026-03-15T11:36:37.685010,-0.1671,0.2489,0.3080,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:37.750706,-0.5462,0.4144,0.5803,high_stress,0.00,0.0000,0.0000
